"cite.key","Title","Authors","year"
"dumontFlightInitiationDistance2012","Flight Initiation Distance and Starting Distance Biological Effect or Mathematical Artefact?","F Dumont, C Pasquaretta, D Reale, G Bogliani, A von Hardenberg","2012"
"crosmaryVulnerabilityPredationWater2012","Vulnerability to predation and water constraints limit behavioural adjustments of ungulates in response to hunting risk","WG Crosmary, P Makumbe, SD Cote, H Fritz","2012"
"crosmaryAfricanUngulatesTheir2012","African ungulates and their drinking problems Hunting and predation risks constrain access to water","WG Crosmary, M Valeix, H Fritz, H Madzikanda, SD Cote","2012"
"clevelandLinkingElkMovement2012","Linking Elk Movement and Resource Selection to Hunting Pressure in a Heterogeneous Landscape","SM Cleveland, M Hebblewhite, M Thompson, R Henderson","2012"
"ciutiHumanSelectionElk2012","Human selection of elk behavioural traits in a landscape of fear","S Ciuti, TB Muhly, DG Paton, AD McDevitt, M Musiani, MS Boyce","2012"
"ciutiEffectsHumansBehaviour2012","Effects of Humans on Behaviour of Wildlife Exceed Those of Natural Predators in a Landscape of Fear","S Ciuti, JM Northrup, TB Muhly, S Simi, M Musiani, JA Pitt, MS Boyce","2012"
"brownEffectHumanActivities2012","The Effect of Human Activities and Their Associated Noise on Ungulate Behavior","CL Brown, AR Hardy, JR Barber, KM Fristrup, KR Crooks, LM Angeloni","2012"
"barriEffectsGroupSize2012","Effects of group size, habitat and hunting risk on vigilance and foraging behaviour in the Lesser Rhea (Rhea pennata pennata)","FR Barri, N Roldan, JL Navarro, MB Martella","2012"
"zhengDeterminantsVigilanceReintroduced2013","Determinants of vigilance in a reintroduced population of Pere David's deer","W Zheng, G Beauchamp, XL Jiang, ZQ Li, QL Yang","2013"
"waleNoiseNegativelyAffects2013","Noise negatively affects foraging and antipredator behaviour in shore crabs","MA Wale, SD Simpson, AN Radford","2013"
"thurfjellEffectsHuntingWild2013","Effects of hunting on wild boar Sus scrofa behaviour","H. Thurfjell, G. Spong, G. Ericsson","2013"
"storchHumanDisturbanceGrouse2013","Human disturbance of grouse - why and when?","I Storch","2013"
"podgorskiSpatiotemporalBehavioralPlasticity2013","Spatiotemporal behavioral plasticity of wild boar (Sus scrofa) under contrasting conditions of human pressure primeval forest and metropolitan area","T Podgorski, G Bas, B Jedrzejewska, L Sonnichsen, S Sniezko, W Jedrzejewski, H Okarma","2013"
"sonnichsenBehaviouralResponsesEuropean2013","Behavioural Responses of European Roe Deer to Temporal Variation in Predation Risk","L Sonnichsen, M Bokje, J Marchal, H Hofer, B Jedrzejewska, S Kramer-Schadt, S Ortmann","2013"
"perez-cembranosPredationRiskOpportunity2013","Predation Risk and Opportunity Cost of Fleeing While Foraging on Plants Influence Escape Decisions of an Insular Lizard","A Perez-Cembranos, V Perez-Mellado, WE Cooper","2013"
"ordizSavingLargeCarnivores2013","Saving large carnivores, but losing the apex predator?","A Ordiz, R Bischof, JE Swenson","2013"
"ordizLastingBehaviouralResponses2013","Lasting behavioural responses of brown bears to experimental encounters with humans","A Ordiz, OG Stoen, S Saebo, V Sahlen, BE Pedersen, J Kindberg, JE Swenson","2013"
"ohashiDifferencesActivityPattern2013","Differences in the activity pattern of the wild boar Sus scrofa related to human disturbance","H Ohashi, M Saito, R Horie, H Tsunoda, H Noba, H Ishii, T Kuwabara, Y Hiroshige, S Koike, Y Hoshino, H Toda, K Kaji","2013"
"mollerChangeFlightInitiation2013","Change in flight initiation distance between urban and rural habitats following a cold winter","AP Moller, T Grim, JD Ibanez-Alamo, G Marko, P Tryjanowski","2013"
"merkleFoodAvailabilityForaging2013","Food availability and foraging near human developments by black bears","JA Merkle, HS Robinson, PR Krausman, P Alaback","2013"
"melisRoeDeerFace2013","Roe deer face competing risks between predators along a gradient in abundance","C Melis, EB Nilsen, M Panzacchi, JDC Linnell, J Odden","2013"
