"cite.key","study_type","contrast_type","sampling","sampling_time","pop_cn","pop_sn","exposure_category","controls","outcome","outcomes","treatment","group","mean","scale","mean.unit","var","lower","upper","var.unit","multiplier","n","remarks","ratio"
"crosmaryVulnerabilityPredationWater2012","correlational","spatial","FIS",120,"Greater Kudu","","lethal interaction","negative control","vigilance","vigilance time","Control:hunted","",0.0565025386103579," , duration","coefficient",0.00328007925648221,0.144543230993861,0.00807815360593929,"sd",1,174,"hunting-control contrast",17.2259674819429
"crosmaryVulnerabilityPredationWater2012","correlational","spatial","FIS",120,"Sable Antelope","","lethal interaction","negative control","vigilance","vigilance time","Control:hunted","",0.166268587079346," , duration","coefficient",0.0105232057023854,0.405179584351083,0.022331755437197,"sd",1,53,"hunting-control contrast",15.8001840676416
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","active disturbance","Moro",4.61817682229978,"proportion","time",4.65464728561673,NA,NA,"sd",-1,20,"",0.99216472031519
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","active disturbance","Oeste",4.0148500529942,"proportion","time",4.70142726855505,NA,NA,"sd",-1,20,"",0.853964088702821
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","active disturbance","Retiro",4.09595540407118,"proportion","time",4.65464728561673,NA,NA,"sd",-1,20,"",0.879971167037305
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","control","Moro",1.08328706767496,"proportion","time",4.57161318330509,NA,NA,"sd",-1,20,"",0.23695947671841
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","control","Oeste",1.18530485132037,"proportion","time",4.56247909407241,NA,NA,"sd",-1,20,"",0.259794034532743
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","vigilance","vigilance time + foraging time","control","Retiro",1.07250818125422,"proportion","time",4.47213595499958,NA,NA,"sd",-1,20,"",0.239820119970909
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","active disturbance","Moro",1.03045453395352,"proportion","time",4.58534861570203,NA,NA,"sd",-1,20,"",0.224727631488005
"fernandez-juricicEffectsHumanDisturbance2000","treatment-control","temporal","FIS",420,"Blackbird","Turdus merula","active interaction","negative control","foraging","vigilance time + foraging time","active disturbance","Oeste",1.20924959765725,"proportion","time",4.65464728561673,NA,NA,"sd",-1,20,"",0.259794034532743
